kouji_No,gakku,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,area,ID
1054,Seiran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140000,143000,146000,150000,154000,156000,159000,164000,169000,176000,6701161.055,127
1055,Seiran,0,0,0,0,0,0,0,0,0,0,0,0,140000,132000,127000,120000,108000,97000,88000,76500,62000,54300,49000,45300,45300,47500,47400,45700,44700,44000,43800,43800,44300,45100,45900,46800,47700,48500,48500,49600,51300,55100,59300,6701161.055,127
1056,Ishiyama,0,0,0,0,0,0,0,205000,225000,190000,160000,153000,153000,147000,142000,138000,132000,125000,117000,106000,93500,84200,77700,75400,78000,80000,77300,73400,71600,70100,69600,67800,66000,63900,61500,59700,58300,56800,55400,54000,53000,52000,51600,4272130.158,128
1057,Nango,0,0,0,0,0,0,140000,218000,270000,210000,174000,165000,165000,156000,151000,149000,141000,129000,119000,109000,95500,85000,81000,80200,85000,90000,87500,83600,81000,79400,79200,78900,78400,75400,72400,70000,67800,66300,63800,61900,61600,61600,63000,13278862.18,129
1058,Nango,88800,93500,97700,101000,104000,108000,125000,188000,210000,200000,163000,155000,155000,145000,141000,138000,131000,123000,115000,104000,90000,81000,76000,74100,76100,78700,76600,73900,71900,70200,69600,69200,68800,66700,64200,62200,60600,59400,58400,57300,56600,56600,57200,13278862.18,129
1059,Nango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88500,82500,76000,65200,57800,51500,49800,50300,51900,49300,46700,45200,44000,43600,43300,43000,41400,39800,38300,36800,35400,34100,32900,32000,31500,31000,13278862.18,129
1060,Nango,0,0,39000,40300,41000,42500,44500,64100,72000,70000,68500,66000,66000,62700,61500,60800,58300,55100,51600,47800,42800,38800,37000,35300,34600,34600,33200,32100,31400,30800,30400,30000,29600,29200,28400,27800,27200,26400,25500,24800,24000,23300,22700,13278862.18,129
1061,Tanoue,0,0,91000,93000,95000,98000,105000,146000,200000,180000,155000,153000,153000,141000,140000,133000,125000,113000,102000,90000,77000,71000,66500,65700,69000,71000,69600,65900,63000,61000,60500,60300,60100,59000,57000,55200,53200,51400,49600,48100,46600,45400,44500,25635833.54,131
1062,Tanoue,0,0,0,0,0,0,0,0,0,160000,145000,140000,140000,136000,133000,130000,122000,110000,102000,94200,81700,72100,67800,65900,66000,67500,65500,60500,58500,57200,56900,56600,56300,54600,52500,50700,49000,47300,45800,44800,44200,44200,44300,25635833.54,131
1063,Tanoue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24000,23500,22900,22400,22100,25635833.54,131
1064,Tanoue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22600,22800,23200,23600,24100,24700,25900,27200,29800,32800,25635833.54,131
1065,Kamitanoue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28700,28500,28200,27800,27400,27000,26500,25900,25300,24600,23900,23100,22400,24437868.98,132
1066,Aoyama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94500,96000,98000,103000,11875791.07,133
1067,Seta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107000,109000,109000,110000,111000,115000,119000,4518402.531,134
1068,Seta Minami,95000,100000,104000,107000,110000,114000,125000,211000,260000,220000,175000,163000,163000,150000,144000,136000,126000,118000,111000,104000,92500,84700,81700,80500,82500,86000,85300,81200,79200,78500,78200,79300,80000,80800,81400,81600,82400,82600,82600,82600,84000,85400,87000,5729929.053,135
1069,Seta Minami,0,108000,113000,117000,120000,128000,144000,265000,300000,250000,195000,183000,183000,165000,159000,153000,147000,138000,128000,116000,103000,95500,90800,89500,93000,96000,95300,91200,88700,87200,86900,88300,89600,90500,90700,90900,91500,92000,92000,92000,92400,93100,94500,5729929.053,135
1070,Seta Minami,0,0,0,0,0,0,0,0,0,0,180000,170000,170000,161000,156000,152000,145000,135000,125000,115000,104000,97200,92500,91300,94000,96500,95800,91700,89000,88000,87500,89500,91000,92000,92900,93800,94700,96100,96100,97100,98000,99100,101000,5729929.053,135
