ID,gakku,fiscal year,school_name,teachers,classes,enroll_total,enroll_grade_1,enroll_grade_2,enroll_grade_3,enroll_grade_4,enroll_grade_5,enroll_grade_6
135,Seta Minami,2023,Seta Minami school,43,30,751,134,133,127,100,130,127
135,Seta Minami,2024,Seta Minami school,44,31,733,121,116,137,134,125,100
135,Seta Minami,2025,Seta Minami school,44,32,751,118,119,121,134,134,125
136,Seta Higashi,2019,Seta Higashi school,46,35,979,163,151,167,161,169,168
136,Seta Higashi,2020,Seta Higashi school,49,36,984,183,159,146,167,160,169
136,Seta Higashi,2021,Seta Higashi school,52,36,969,155,179,157,147,168,163
136,Seta Higashi,2022,Seta Higashi school,52,35,946,158,149,173,156,144,166
136,Seta Higashi,2023,Seta Higashi school,52,35,946,158,149,173,156,144,166
136,Seta Higashi,2024,Seta Higashi school,50,34,909,133,143,156,143,174,160
136,Seta Higashi,2025,Seta Higashi school,47,35,886,140,136,141,154,141,174
137,Seta Kita,2019,Seta Kita school,52,38,1080,185,211,179,192,166,147
137,Seta Kita,2020,Seta Kita school,54,38,1107,174,186,213,179,190,165
137,Seta Kita,2021,Seta Kita school,55,39,1119,176,176,181,216,178,192
137,Seta Kita,2022,Seta Kita school,54,40,1126,199,173,181,179,217,177
137,Seta Kita,2023,Seta Kita school,54,40,1126,199,173,181,179,217,177
137,Seta Kita,2024,Seta Kita school,57,39,1079,190,177,195,168,171,178
137,Seta Kita,2025,Seta Kita school,59,40,1113,217,188,176,193,170,169
999,other,2019,Fuzoku school,27,18,621,105,105,102,104,104,101
999,other,2020,Fuzoku school,27,18,618,104,105,104,101,101,103
999,other,2021,Fuzoku school,27,18,621,105,104,105,104,101,102
999,other,2022,Fuzoku school,27,18,624,105,105,104,105,104,101
999,other,2023,Fuzoku school,27,18,624,105,105,104,105,104,101
999,other,2024,Fuzoku school,26,18,622,105,104,101,105,102,105
999,other,2025,Fuzoku school,26,18,615,99,103,104,102,105,102
