gakku,fiscal year,pop_total,pop_0_11,pop_12_18,pop_19_64,pop_65_over,rate_0_11,rate_65_over
Ogi no Sato Higashi,2024,8472,718,764,4798,2192,0.084749764,0.258734655
Ogi no Sato Higashi,2025,8416,698,758,4742,2218,0.082937262,0.263545627
Ogoto,2018,6121,761,377,3471,1512,0.124326091,0.247018461
Ogoto,2019,6117,736,402,3448,1531,0.120320419,0.250286088
Ogoto,2020,6129,708,418,3454,1549,0.115516397,0.252732909
Ogoto,2021,6258,695,467,3548,1548,0.111057846,0.247363375
Ogoto,2022,6212,644,487,3521,1560,0.103670316,0.251126851
Ogoto,2023,6302,628,508,3573,1593,0.099650904,0.252776896
Ogoto,2024,6262,581,523,3590,1568,0.092781859,0.250399233
Ogoto,2025,6294,574,523,3606,1591,0.091197966,0.252780426
Oishi,2018,4924,430,474,2721,1299,0.087327376,0.263809911
Oishi,2019,4863,389,462,2686,1326,0.079991775,0.272671191
Oishi,2020,4805,366,429,2661,1349,0.076170656,0.28074922
Oishi,2021,4724,336,394,2633,1361,0.071126164,0.288103302
Oishi,2022,4671,311,353,2604,1403,0.066581032,0.300363948
Oishi,2023,4598,299,317,2554,1428,0.065028273,0.310569813
Oishi,2024,4540,285,292,2511,1452,0.06277533,0.319823789
Oishi,2025,4493,287,279,2479,1448,0.063877142,0.322279101
Ono,2018,4439,221,172,1951,2095,0.049785988,0.471953143
Ono,2019,4424,208,179,1917,2120,0.047016275,0.47920434
Ono,2020,4373,207,177,1856,2133,0.047335925,0.487765836
Ono,2021,4305,195,167,1819,2124,0.045296167,0.493379791
Ono,2022,4257,198,168,1767,2124,0.046511628,0.498942918
Ono,2023,4220,220,161,1723,2116,0.052132701,0.501421801
Ono,2024,4166,218,150,1684,2114,0.052328373,0.507441191
Ono,2025,4154,226,151,1670,2107,0.054405392,0.507221955
Ousaka,2018,8071,868,455,4419,2329,0.107545533,0.288563995
Ousaka,2019,8477,943,467,4689,2378,0.111242185,0.28052377
Ousaka,2020,8557,962,485,4695,2415,0.112422578,0.282225079
Ousaka,2021,8506,941,492,4627,2446,0.110627792,0.287561721
Ousaka,2022,8365,912,502,4516,2435,0.109025702,0.291093843
Ousaka,2023,8287,854,529,4438,2466,0.103052975,0.297574514
Ousaka,2024,8229,791,560,4424,2454,0.096123466,0.298213635
Ousaka,2025,8182,749,569,4396,2468,0.09154241,0.301637741
Sakamoto,2018,10092,1055,593,5449,2995,0.104538248,0.296769719
Sakamoto,2019,10152,1065,591,5498,2998,0.104905437,0.295311269
Sakamoto,2020,10390,1135,582,5648,3025,0.109239654,0.291145332
Sakamoto,2021,10551,1205,582,5722,3042,0.114207184,0.288313904
Sakamoto,2022,10819,1279,601,5892,3047,0.11821795,0.281634162
Sakamoto,2023,11029,1354,620,6017,3038,0.12276725,0.275455617
Sakamoto,2024,11105,1383,632,6081,3009,0.124538496,0.270959027
Sakamoto,2025,11170,1394,655,6102,3019,0.124798568,0.270277529
Seiran,2018,17875,1819,1116,10449,4491,0.101762238,0.251244755
Seiran,2019,17835,1781,1094,10478,4482,0.099859826,0.251303616
Seiran,2020,17850,1763,1077,10508,4502,0.098767507,0.252212885
